colct_stdde,sle_site_domn,prices_prdlst_id,goods_nm,shop_nm,anals_trget_pc,Price,expsr_ordr,job_id,kf,Rand
2020-02-13,search.shopping.naver.com,F012091,핑크퐁입체마스크[핑크 어린이용] 1개 어린이 마스크 성인마스크 KF94 황사마스크 어린이캐릭터마스크 면마스크 방한 무형광 - 티몬,티몬,5000,,49,490008,94,0.640874012
2020-03-31,search.shopping.naver.com,F012050,KF94 마스크 식약처허가 마스크 황사마스크 대형 개별1매 - 라비쉬 마켓,라비쉬 마켓,3900,3900,1,490002,94,0.640905013
2020-05-24,search.shopping.naver.com,F012050,아에르 KF80 화이트 미세먼지 황사방역마스크(2매입) - 인터파크,인터파크,4490,2245,71,490013,80,0.640939958
2020-02-16,search.shopping.naver.com,F012091,KF94 초 미세먼지 황사 더스논마스크 보건용마스크 대형(끈조절+코스펀지) 소형 동아제약 - 믿음온,믿음온,2900,,3,490003,94,0.640957335
2020-05-15,search.shopping.naver.com,F012050,KF80 10장 미세먼지 초미세먼지 필터 조이풀마스크 교체용 - 조이풀루시,조이풀루시,12000,1200,47,490013,80,0.640986721
2020-04-27,search.shopping.naver.com,F012050,웰킵스 스마트 미세먼지황사마스크 KF94 대형 1개 - 11번가,11번가,2850,2850,18,490008,94,0.641026984
2020-05-15,search.shopping.naver.com,F012050,노브렉트 매직 KF94 황사 미세먼지 마스크 - 제이트리플,제이트리플,2500,2500,11,490008,94,0.641046483
2020-04-27,search.shopping.naver.com,F012050,(당일출고) 웰킵스 초소형 마스크 소형 중형 대형 KF94 KF80 마스크재고 코로나예방 - 해피원스토어,해피원스토어,2850,2850,30,490009,80,0.641079773
2020-05-27,search.shopping.naver.com,F012050,소형마스크 일회용마스크 화이트 개별밀봉포장 1개 블랙마스크 먼지차단 kf80 losy - 위메프,위메프,1900,1900,7,490009,80,0.641079908
2020-04-06,search.shopping.naver.com,F012050,늘푸른 황사마스크(KF80) 화이트 중형 X 10매 - G마켓,G마켓,38900,3890,68,490013,80,0.641116899
2020-04-17,search.shopping.naver.com,F012050,KF94 마스크 올가드 대형검정1개 - G마켓,G마켓,3500,3500,39,490008,94,0.641186087
2020-04-16,search.shopping.naver.com,F012050,"[국산]아레카 KF94 입체 마스크 대형 성인용 5매입,그레이 황사 미세먼지 코로나 입체 - 핫플레이스샵",핫플레이스샵,18400,3680,28,490015,94,0.641210051
2020-04-17,search.shopping.naver.com,F012050,NEW네퓨어 황사 미세먼지 마스크/웰킵스/아에르/에어퀸/디즈니 마스크/블랙/대형/중형/소형/초소형 KF94/10매 - 몽생미쉘,몽생미쉘,35000,3500,34,490001,94,0.641245976
2020-03-07,search.shopping.naver.com,F012050,"하늬숨 방역마스크 KF94(대형/개별포장)제품수령후, 구매확정 눌러주세요.부탁드려요 - 반짝반짝이네",반짝반짝이네,3900,,2,490015,94,0.641369496
2020-02-26,search.shopping.naver.com,F012091,FILTSON 필슨 황사마스크 KF80 - G마켓,G마켓,3430,,35,490013,80,0.641490971
2020-03-24,search.shopping.naver.com,F012050,더조은 국내산KF94마스크 대형 5매 브랜드랜덤발송 - 옥션,옥션,28030,5606,76,490015,94,0.641500495
2020-04-24,search.shopping.naver.com,F012050,KF94 크린웰 황사마스크 1개 - 이보소,이보소,4080,4080,36,490008,94,0.641563625
2020-03-04,search.shopping.naver.com,F012050,아동용 팬더 캐릭터 마스크 KF80 1매 - 365즐거운쇼핑,365즐거운쇼핑,4590,,39,490013,80,0.64168968
2020-04-05,search.shopping.naver.com,F012050,일동 푸른숲 보령 5why 중외 좋은숨 동아 더스논 KF94 미세먼지 황사마스크 KF99 KF80 어린이 - 오렌지팜,오렌지팜,3500,3500,1,490003,94,0.64172484
2020-03-11,search.shopping.naver.com,F012050,재고확보 코라나바이러스 예방 마스크 KF94 대형 5매입 또는 개별포장 색상랜덤 1개 - 11번가,11번가,31070,6214,23,490009,94,0.641772598
2020-03-23,search.shopping.naver.com,F012050,늘푸른 황사마스크 KF80 중형 화이트 2매 - 인터파크,인터파크,6160,3080,12,490013,80,0.641861165
2020-04-08,search.shopping.naver.com,F012050,제로베이 황사마스크 KF94 대형 5매입 식약처 (재입고 10세트) - 로란드류,로란드류,19800,3960,33,490015,94,0.641890434
2020-05-13,search.shopping.naver.com,F012050,[이노센트] 이노센트 미세먼지마스크 KF80 대형 - 위메프,위메프,3200,3200,16,490013,80,0.641909194
2020-02-14,search.shopping.naver.com,F012091,도부 밸브형 KF94 미세먼지 마스크 DM2-203V - 케어프리팜,케어프리팜,4150,,24,490008,94,0.642212351
2020-04-28,search.shopping.naver.com,F012050,kf94 대형마스크 1개 개별포장 늘푸른마스크 원킬샵 - 소리와샵,소리와샵,4850,4850,6,490008,94,0.642318129
2020-05-10,search.shopping.naver.com,F012050,[유가모아] 마스크 kf94 kf80 소형 중형 대형 덴탈 일회용 화이트 블랙 - madammaket,madammaket,1700,1700,14,490015,94,0.64240678
2020-05-22,search.shopping.naver.com,F012050,네퓨어 황사 방역 미세먼지 마스크_블랙 KF94 5P - 11번가,11번가,8820,1764,12,490001,94,0.642462713
2020-05-12,search.shopping.naver.com,F012050,KF80 미세먼지 황사마스크 보건마스크 일회용마스크 - 옥션,옥션,2010,2010,76,490013,80,0.642478799
2020-05-19,search.shopping.naver.com,F012050,D (대한도매) kf94 대형마스크 1개 개별포장 숨마스크 - 따따몰wwmall,따따몰wwmall,4700,4700,32,490008,94,0.642516953
2020-05-19,search.shopping.naver.com,F012050,한컴라이프케어 미세먼지 황사마스크 밸브형 KF94 화이트1개 - 스마트 핫라인,스마트 핫라인,2000,2000,26,490008,94,0.642594523
2020-04-16,search.shopping.naver.com,F012050,웰킵스 일월 미세먼지차단마스크 KF94 대형 - 11번가,11번가,2040,2040,38,490015,94,0.642770522
2020-04-16,search.shopping.naver.com,F012050,황사엔 초미세먼지 미세먼지엔 닥터퓨리 KF94 인증 미세먼지 황사 마스크 1 개 (끈조절 가능) - ANNE SHOP,ANNE SHOP,4990,4990,40,490008,94,0.642809111
2020-04-25,search.shopping.naver.com,F012050,[당일배송] KF94 숨쉬기 편한 우리아이 황사방역 마스크 1개 (끈조절가능) - 키즈앤베이비,키즈앤베이비,2650,2650,3,490008,94,0.642857292
2020-05-12,search.shopping.naver.com,F012050,웰킵스 웰킵스 KF94 대형마스크/25개1박스/재고확보/마스크 - 옥션,옥션,69730,2789.2,60,490015,94,0.642870554
2020-05-02,search.shopping.naver.com,F012050,크린탑 kf94 대형 개별포장 1개 x 10 개입 - 11번가,11번가,28130,2813,34,490008,94,0.642901996
2020-05-16,search.shopping.naver.com,F012050,파인텍 뉴네퓨어 황사 방역 마스크 KF94/미세먼지 마스크 5개입 - 미앤미c,미앤미c,13000,2600,2,490001,94,0.642982397
2020-05-20,search.shopping.naver.com,F012050,KF80 마스크 대형 미세먼지 황사 마스크 - 참무역,참무역,1790,1790,1,490013,80,0.643189598
2020-02-21,search.shopping.naver.com,F012091,더나은 KF94 미세먼지 황사 마스크 성인용 - 인터파크,인터파크,5230,,7,490008,94,0.643210944
2020-05-08,search.shopping.naver.com,F012050,하늬숨 kf94 4중필터 마스크 대형1매 코로나미세먼지 - 인터파크,인터파크,1450,1450,37,490015,94,0.643245809
2020-03-27,search.shopping.naver.com,F012050,제이트로닉스 블루나 KF94 페이스핏 황사 방역 마스크 - 아이파크존,아이파크존,4490,4490,12,490008,94,0.643292704
2020-04-20,search.shopping.naver.com,F012050,KF80 일회용 마스크 뉴크린웰 - G마켓,G마켓,2580,2580,29,490009,80,0.643588954
2020-02-17,search.shopping.naver.com,F012091,일동제약 푸른숲 미세먼지 황사 마스크 KF94 (어린이용) / 동아제약 더스논 KF-94 미세먼지 황사마스크(성인용) - 코어스,코어스,3000,,12,490003,94,0.643863642
2020-05-17,search.shopping.naver.com,F012050,(당일출고)국산 KF94 마스크 미세 대형 5매입 - G마켓,G마켓,21060,4212,9,490015,94,0.643873627
2020-05-15,search.shopping.naver.com,F012050,QUQU 더안심 황사 미세먼지 방역 마스크 KF94 - 옥션,옥션,2300,2300,6,490008,94,0.643921738
