collectDatetime,jobId,nsMallName,productName,sellPrice,sequenceInPage,deliveryFee,collectUrl,품절퇴장여부,비고,
2.02E+13,490001,까사앤펫,[당일출고] 국산 순면 100% 대형 2중 천 빨아쓰는 성인 면 마스크 / kf94 네퓨어 미세먼지 마스크/ 휴대용 손소독제 50ml 코로나19 면마스크 약국 이마트 편의점 - 까사앤펫,1800,1,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,면,
2.02E+13,490001,티몬,슈퍼가드 손 세정제 300ml [마스크] KF94 끈조절 블랙 네퓨어 대형 성인용 황사마스크 - 티몬,6280,2,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,품절,,
2.02E+13,490001,퓨어 숨,[재고O당일발송] KF94 마스크 대형 크리넥스 웰킵스 뉴네퓨어 애니가드 외 일회용마스크 - 퓨어 숨,5900,3,3500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,,
2.02E+13,490001,한국상인,[파인텍] (KF94동급) 1급 방진마스크 8301 (낱개1개) 마스크 네퓨어 마스크 - 한국상인,2840,4,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,
2.02E+13,490001,몬스터건강,몬스터건강 에코원 1매 대형마스크KF94 국대 미마 유한킴벌리덴탈 닥터퓨리 뉴네퓨어 휴안청 블링마 메디쉴드 - 몬스터건강,7900,5,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,덴탈,
2.02E+13,490001,늑대동생,kf94 마스크대형5매 일회용마스크필터 50매 웰킵스마스크 크리넥스마스크 웹킵스뉴네퓨어kf94 블루나마스크 상공양행마스크 윈더가드마스크 크리넥스스타일마스크 더스논마스크 - 늑대동생,20000,6,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,,
2.02E+13,490001,몬스터건강,몬스터건강 방역마스크(KF94인증) 5매 국대 미마 유한킴벌리덴탈 닥터퓨리 뉴네퓨어 휴안청 블링마 메디쉴드 - 몬스터건강,39900,7,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,덴탈,
2.02E+13,490002,샤샤프렌즈,하루한장 항균지 kf94 일회용 의료용덴탈 웰킵스 국대 황사 유한킴벌리 닥터퓨리 부착필터 - 샤샤프렌즈,26000,1,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,덴탈,
2.02E+13,490002,whynotmall,[당일발송] KF94 이노센트 암웨이 나인포 힐메이드 제이피씨 이지팜 웰킵스 제로베이 올가드 베이직 마스크 소형 대형 - whynotmall,4500,2,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,일부품절,,
2.02E+13,490002,몬스터건강,몬스터건강 에코원 1매 대형마스크KF94 국대 미마 유한킴벌리덴탈 닥터퓨리 뉴네퓨어 휴안청 블링마 메디쉴드 - 몬스터건강,7900,3,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,덴탈,
