collectDatetime,jobId,nsMallName,productName,sellPrice,sequenceInPage,deliveryFee,collectUrl,품절퇴장여부,비고
2.02003E+13,490001,티몬,슈퍼가드 손 세정제 300ml [마스크] KF94 끈조절 블랙 네퓨어 대형 성인용 황사마스크 - 티몬,6420,1,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,품절,
2.02003E+13,490001,이주이스토어,미세먼지마스크 KN95 50매 보건용 웰킵스 아에르 덴탈 크리넥스 네퓨어 애니가드 참조은 프리텍 일회용 황사마스크50매 100매 - 이주이스토어,125000,2,7500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,퇴장,KN95
2.02003E+13,490001,대국민활력소,"[1+2] 입체형 3D 필터교체 면마스크, 우한폐렴 코로나 우체국 아에르 크리넥스 KF94 KF80 상공양행 휴안청 네퓨어 웰킵스 국대 마스크 X - 대국민활력소",10980,3,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,,면
2.02003E+13,490001,대국민활력소,[10묶음] BFE95 필터 면마스크 블랙 우한폐렴 코로나 우체국 아에르 크리넥스 상공양행 국대 KF94 KF80 휴안청 네퓨어 웰킵스 마스크 X - 대국민활력소,32800,4,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC,,BFE95
2.02003E+13,490002,정품 마켓,[당일발송] kf94 대형 중형 소형 블랙마스크 모음 미세먼지 [우한 코로나19 예방] - 정품 마켓,31900,1,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC,퇴장,
2.02003E+13,490002,365Mall,KF94마스크(소형) 해외배송 30매 - 365Mall,90000,2,5000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC,,
2.02003E+13,490003,헬시버퍼팜,"일동 푸른숲 황사마스크,더스논, 동아제약황사방역용마스크kf94, 애니가드 KF94 대형 - 헬시버퍼팜",5900,1,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8D%94%EC%8A%A4%EB%85%BC+KF94&cat_id=&frm=NVSHATC,퇴장,
2.02003E+13,490004,라이온코리아 공식몰,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - 라이온코리아 공식몰,4100,1,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C,,
2.02003E+13,490004,G마켓,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - G마켓,4190,2,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C,,
2.02003E+13,490004,옥션,아이깨끗해 항균 폼 핸드 숍 상큼한 레몬향 250ml - 옥션,4190,3,,https://search.shopping.naver.com/search/all.nhn?origQuery=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml%20-%EB%A6%AC%ED%95%84%20-%EB%A6%AC%ED%95%84%ED%98%95%20-%EB%AC%B6%EC%9D%8C&pagingIndex=1&pagingSize=40&viewType=list&sort=rel&minPrice=0&maxPrice=6000&frm=NVSHPRC&query=%EC%95%84%EC%9D%B4%EA%B9%A8%EB%81%97%ED%95%B4%20250ml&xq=%EB%A6%AC%ED%95%84%20%EB%A6%AC%ED%95%84%ED%98%95%20%EB%AC%B6%EC%9D%8C,,
