no,date,collectDatetime,jobId,nsMallName,productName,sellPrice,sequenceInPage,deliveryFee,collectUrl,품절퇴장여부,비고,등급,매수
21,2020-04-10,2.02E+13,490001,몬스터건강,몬스터건강 에코원 1매 대형마스크KF94 국대 미마 유한킴벌리덴탈 닥터퓨리 뉴네퓨어 휴안청 블링마 메디쉴드 - 몬스터건강,7900,21,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,,KF94,1
22,2020-04-10,2.02E+13,490001,몬스터건강,몬스터건강 방역마스크(KF94인증) 5매 국대 미마 유한킴벌리덴탈 닥터퓨리 뉴네퓨어 휴안청 블링마 메디쉴드 - 몬스터건강,29900,22,2500,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,,KF94,5
23,2020-04-10,2.02E+13,490001,몽생미쉘,NEW네퓨어 황사 미세먼지 마스크/웰킵스/에어퀸/디즈니 마스크/블랙/대형/중형/소형/초소형 KF94/10매 - 몽생미쉘,35000,23,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,,KF94,10
24,2020-04-10,2.02E+13,490001,SHALL I,(재고보유 오늘출발) 뉴네퓨어 건영 이룸 대형 성인용 KF94 코로나 마스크 랜덤발송 1매 - SHALL I,3980,24,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,,KF94,1
25,2020-04-10,2.02E+13,490001,햇살스토아,파인텍 8301 1급방진마스크 국산 산업용마스크 ev8301 3m8822 - 햇살스토아,3400,25,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,KF94,1
26,2020-04-10,2.02E+13,490001,철모아,[철모아]국산 파인텍 네퓨어 1급 안면부 여과식 방진마스크 8301 1통 20개 KF94 - 철모아,1800,26,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,KF94,20
27,2020-04-10,2.02E+13,490001,햇살스토아,파인텍8301 1급방진마스크 국산 산업용마스크 - 햇살스토아,2900,27,3000,https://search.shopping.naver.com/search/all.nhn?query=%ED%8C%8C%EC%9D%B8%ED%85%8D%2C+%EB%84%A4%ED%93%A8%EC%96%B4+%ED%99%A9%EC%82%AC%EB%B0%A9%EC%97%AD+%EB%A7%88%EC%8A%A4%ED%81%AC+KF94+%EB%8C%80%ED%98%95+-%EA%B3%B5%EA%B8%B0%EC%B2%AD%EC%A0%95%EA%B8%B0&cat_id=&frm=NVSHATC&exagency=true,,방진,,1
28,2020-04-10,2.02E+13,490002,11번가,닥터퓨리 KF94 미세 황사마스크 대형 20매 1BOX - 11번가,69420,1,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,20
29,2020-04-10,2.02E+13,490002,라비쉬 마켓,KF94 마스크 식약처허가 마스크 황사마스크 대형 개별1매 - 라비쉬 마켓,3400,2,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,1
30,2020-04-10,2.02E+13,490002,G마켓,닥터퓨리 KF94 미세 황사마스크 대형 20매 1BOX - G마켓,65590,3,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,20
31,2020-04-10,2.02E+13,490002,위메프,닥터퓨리 KF94 미세 황사마스크 대형 20매 1BOX - 빠른배송 - 위메프,78000,4,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,20
32,2020-04-10,2.02E+13,490002,옥션,닥터퓨리 KF94 미세 황사마스크 대형 20매 1BOX - 옥션,78000,5,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,20
33,2020-04-10,2.02E+13,490002,픽업뷰티,닥터퓨리 KF94 미세 황사마스크 대형 20매 1BOX - 픽업뷰티,76000,6,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,20
34,2020-04-10,2.02E+13,490002,가격짱,닥터퓨리 KF94 미세먼지 황사마스크 대형 3매 (개별포장) - 가격짱,8900,7,3000,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,3
35,2020-04-10,2.02E+13,490002,티몬,닥터퓨리 KF94 미세 황사마스크 대형 20매 1BOX 닥터퓨리 KF94 황사마스크 KN95 유한킴벌리 어린이용 수술용 의료용 덴탈마스크 3D 블랙 패션마스크 - 티몬,70980,8,2500,https://search.shopping.naver.com/search/all.nhn?query=%EB%8B%A5%ED%84%B0%ED%93%A8%EB%A6%AC+%ED%99%A9%EC%82%AC%EB%A7%88%EC%8A%A4%ED%81%AC+%EB%8C%80%ED%98%95+KF94&cat_id=&frm=NVSHATC&exagency=true,,,KF94,20
