colct_stdde,sle_site_domn,prices_prdlst_id,prices_prdlst_nm,goods_nm,anals_trget_pc,job_id
2015-07-01,emart.ssg.com,A016160,과일가공품,[Fresco] 롱간 통조림 565g,3870.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 프리미엄 후룻바틀 블루베리 666g,8800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[에스앤더블유 S&W] 프리미엄 파인애플 슬라이스 836g,3480.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 프리미엄 후룻바틀 파인애플 666g,8800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 파인애플 티드빗 2300g,10800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,골든그레이프240g,1950.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻볼 트로피칼 113g x 3개,3600.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[디벨라] 폴파파인 토마토 400g,3800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻바틀 트로피칼 666g,6700.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻바틀 믹스후룻 666g,6700.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻볼 트로피칼 젤리 123g x 3개,3400.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻바틀 황도 666g,6700.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[진양] 백도 400g,1650.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 프리미엄 후룻바틀 망고 666g,8800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,마라시노 적체리 (소) 375g,2850.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[복음자리] 포도잼 포션 192g,3600.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻볼 복숭아 113g x 3개,3600.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻볼 파인애플 젤리 123g x 3개,3400.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,Dole 돌 후룻볼 파인애플 113g x 3개,3600.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[프레스코 Fresco] 리치 통조림 565g,3870.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[가실 Gasil] 백도 400g,1980.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[Fresco] 망고 슬라이스 415g,3330.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[푸드웰] 잼있는 쨈마을 짜먹는 포도잼 260g,2480.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[Fresco] 미니 파인애플 425g,2530.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[진양] 황도 400g,1550.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,이마트 반으로 자른 부드러운 황도400g,1580.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,세방프레스코람부탄파인애플425g,2880.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[오뚜기] 황도 800g,3000.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,이마트 반으로 자른 상큼한 백도400g,1580.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[복음자리][SET2] 팥빙수만들기세트 (통통단팥420gX2병+애플키위시럽X1병),10900.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원 F&B] 깐포도 400g,2980.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,골든 리치240g,1950.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원 F&B] 황도 슬라이스 800g,3200.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[복음자리] 딸기잼 포션 192g (24g*8입),3600.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[복음자리][SET1] 팥빙수만들기세트 (통통단팥420X2병+라즈베리딸기시럽X1병),13800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[프레스코 Fresco] 후르츠 칵테일 820g,2990.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,골든 피치240g,1550.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[오뚜기] 황도 400g,1300.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[오뚜기] 백도 400g,1570.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[Waitrose] 딸기잼 454g,3680.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,골든 코코넛240g,1950.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[Fresco] 후르츠 칵테일 410g,1950.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원] 복숭아 백도 400g,1780.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,골든후르츠칵테일240g,1550.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,청정원) 망고&파인애플쨈370g,4060.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,푸드웰황도400g,1180.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원 F&B] 파인애플 슬라이스(원터치) 836g,3780.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[프레스코 Fresco] 파인애플 슬라이스 410g,1950.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원] 후르츠칵테일 234g,1250.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[푸드웰] 잼있는 쨈마을 짜먹는 딸기잼 260g,2480.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원] 황금복숭아 410g,1980.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[농심] 알쿠니아 지중해 황도 850g,4280.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[델몬트] 후르츠 칵테일 850g,3980.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[Fresco] 파인애플 슬라이스 830g,2990.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[복음자리] 팥빙수 만들기재료 골라담기 (국산팥/찹쌀떡/시럽),3800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[복음자리] 애플키위시럽 330g,3600.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,대상청정원)트리플베리 딸기쨈370g,4060.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원 F&B] 수입 황도 400g,1200.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[AROY-D] 코코넛 밀크 400ml,2800.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[동원]후레쉬 망고 425g,2480.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[돌 Dole] 트로피칼 후르츠 칵테일 432g,1980.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[델몬트] 후레쉬컷 슬라이스 파인애플 836g,3980.000,
2015-07-01,emart.ssg.com,A016160,과일가공품,[돌 Dole] 트로피칼 후르츠 칵테일 836g,2980.000,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_몬강황월남쌈원형_200G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,프랑스_샹달프딸기잼_170G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,진양_밀감4호_425G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,프랑스_샹달프라즈베리잼_170G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_맥케이딸기잼_340G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_몬코코넛밀크_400ML,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,동원_파인애플_836G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,@샘표_우리엄마명이절임_70G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,진양_망고시럽_530G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_하인즈베이크드빈스햄소스_420G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,헌트_토마토소스_425G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_라코스테냐할라페뇨페퍼슬라이스_440G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,동서_리치스후르츠칵테일_850G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_인도미미고랭_80G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,FINEST체리토마토_400G_TESCO,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_할라피뇨슬라이스_230G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,샘표_우리엄마콩자반_70G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_몬망고슬라이스_565G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,진양_팥_475G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,델몬트_후르츠칵테일_3KG,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,동원_후르츠칵테일_836G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_맥케이블루베리&블랙커런트쨈_340G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,청우_훼미리통팥빙수_1.5KG,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,농심_알쿠니아황도_850G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,샌드위치피클_300G_TESCO,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,대두_화과방팥빙수(P)_1KG,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_헤리티지코코넛밀크400ML,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,프레스코_할라페뇨슬라이스_540G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,오뚜기_황도_400G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,프레스코_코코넛밀크_400ML,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,동원_Dole파인애플_836G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,썬큐_베이크드빈스_420G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,샘표_우리엄마 오징어채볶음_55G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,동원_황도슬라이스_800G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,_그린자이언트니블렛스위트콘오리지날_195G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,동원_Dole후르츠칵테일_836G,NA,
2015-07-02,www.homeplus.co.kr,A016160,과일가공품,청우_딸기시럽_520G,NA,
