colct_stdde,sle_site_domn,prices_prdlst_id,prices_prdlst_nm,goods_nm,anals_trget_pc,job_id
2014-07-01,www.homeplus.co.kr,A016140,후르츠 칵테일,영양_유기농고춧가루_400G,21000.000,
2014-07-01,www.homeplus.co.kr,A016140,후르츠 칵테일,영양농산_유기농고춧가루_140G,9000.000,
2014-07-01,www.homeplus.co.kr,A016140,후르츠 칵테일,청오_유기농호두_100G,9380.000,
2014-07-01,www.homeplus.co.kr,A016140,후르츠 칵테일,청오_유기농피스타치오_200G,10200.000,
2014-07-01,www.homeplus.co.kr,A016140,후르츠 칵테일,청오_유기농쌀가루_350G,4100.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[이마트가직접수입한] 트로피칼 하비스트 파인애플 통조림 850g,2580.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[이마트가 직접 수입한] 트로피칼 후루츠 칵테일 850g,2580.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[에스앤더블유 S&W] 프리미엄 피에스타 후르츠 칵테일 850g,3480.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[복음자리] 올리고당 딸기잼(460g*2개) 920g,7490.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[돌 Dole] 트로피칼 후르츠 칵테일 836g,2980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[동원 F&B] 후르츠 칵테일 (원터치) 836g,2980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[델몬트] 후르츠 칵테일 850g,3980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[동원] 황금복숭아 410g,1580.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[돌 Dole] 트로피칼 후르츠 칵테일 432g,1980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[델몬트] 후레쉬컷 슬라이스 파인애플 836g,3980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[농심] 알쿠니아 지중해 황도 850g,3850.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[푸드웰] 잼있는 쨈마을 짜먹는 딸기잼 260g,1980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[복음자리] 라즈베리딸기시럽 330g,3300.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[Fresco] 후르츠 칵테일 410g,1880.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[이마트] 새콤달콤 부드러운 백도 400g,1580.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[동원] 후르츠칵테일 234g,1250.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[오뚜기] 백도 400g,1750.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[오뚜기] 황도 400g,1560.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[동원 F&B] 깐포도 400g,2980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[AROY-D] 코코넛 밀크 (400ml),3330.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[프레스코 Fresco] 후르츠 칵테일 820g,2850.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[복음자리] 애플키위시럽 330g,3300.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[Fresco] 파인애플 슬라이스 830g,2850.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[푸드웰] 잼있는 쨈마을 짜먹는 포도잼 260g,1980.000,
2014-07-01,emart.ssg.com,A016140,후르츠 칵테일,[프레스코 Fresco] 리치 통조림 565g,1980.000,
