colct_stdde,sle_site_domn,prices_prdlst_id,prices_prdlst_nm,goods_nm,anals_trget_pc,job_id
2020-07-01,www.interpark.com,A017230,마늘,소디프 냉동다진마늘 1kgx2개 무료배송,8300.000,18830
2020-07-01,www.interpark.com,A017230,마늘,소디프 냉동청양고추 슬라이스 1kgx2개 무료배송,9900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대 1.9K),13830.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소 1.9K),12040.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(A급 1.9K),12040.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(B급 1.9K),9370.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대 1.9K) 8개입,95890.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소 1.9K) 8개입,83290.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(A급 1.9K) 8개입,95890.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(B급 1.9K) 8개입,55590.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(대 1.9K) 1개입,14190.000,18830
2020-07-01,www.interpark.com,A017230,마늘,깐마늘(소 1.9K) 1개입,12690.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(A급 1.9K) 1개입,14190.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(B급 1.9K) 1개입,8490.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(태한 1K) 1개입,5090.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(태한 1K) 9개입,30690.000,18830
2020-07-01,www.interpark.com,A017230,마늘,티베트 샹그릴라 무공해 무첨가 통흑마늘 500g,30000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,티베트 샹그릴라 무공해 무첨가 통흑마늘 250g,15000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,티베트 샹그릴라 무공해 무첨가 통흑마늘 100g,6000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[친환경팔도] 국내산 청오이/백오이 5kg,24950.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[친환경팔도] 국내산 파프리카 2kg(10개내외),20950.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[친환경팔도] 국내산 청오이/백오이 2kg,12350.000,18830
2020-07-01,www.interpark.com,A017230,마늘,[친환경팔도] 국내산 파프리카 1kg(5개내외),13950.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(태한 1K),4400.000,18830
2020-07-01,www.interpark.com,A017230,마늘,간마늘(태한 1K)X9,29800.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘분말(이슬나라 450g)X12,84500.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘분말(이슬나라 450g),7900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘분말(이슬나라 450g)X4,29200.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘분태(5mm 330g),14900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,마늘분태(5mm 330g)X9,114640.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정지대 티베트 샹그릴라 통흑마늘 500g+250g,40000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,티베트 샹그릴라 무공해 무첨가 통흑마늘 500g+100g,30000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,다진생강(2K),26110.000,18830
2020-07-01,www.interpark.com,A017230,마늘,청정지대 티베트 샹그릴라 통흑마늘 250g1통+250g1통,30000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,경남남해 흑마늘 정과절편 20g 10봉지,46000.000,18830
2020-07-01,www.interpark.com,A017230,마늘,국내산 20년 햇 양파 알싸한 햇 양파 5kg,9900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,100% 국내산 마늘 깐마늘 중 400g,2450.000,18830
2020-07-01,www.interpark.com,A017230,마늘,100% 국내산 마늘 깐마늘 중 1kg,4900.000,18830
2020-07-01,www.interpark.com,A017230,마늘,100% 국내산 마늘 깐마늘 대 400g,2950.000,18830
2020-07-01,www.interpark.com,A017230,마늘,100% 국내산 마늘 깐마늘 대 1kg,5900.000,18830
